Printing the average test results after 25 repeats:

tree   n    test      h1     h2     h3    it1   st1a   st1b    dt1   st2a   st2b    it2   st3a   st3b    dt2  total
-------------------------------------------------------------------------------------------------------------------
RBT: 1000000: A:      36     25     26    210    378    901     80    176    775    408    418    992    836   5177
AVL: 1000000: A:      19     19     21    146    367    799     78    185    784    395    438    942    833   4972
AA:  1000000: A:      25     26     26    227    416    990    255    202    907    523    477   1130   1652   6785
RBT: 1000000: B:      35     23     24    334    554   1357    456    188    819    421    448    990    912   6484
AVL: 1000000: B:      22     21     23    282    444   1009    436    200    876    435    468   1053    876   6084
AA:  1000000: B:      29     25     27    373    472   1183    878    203    958    558    512   1228   1682   8051
BST: 1000000: B:    2217   1134   1136    420   1047   2171    618    448   1943    582   1033   2207   1143  11616
RBT: 1000000: C:      23     22     23    721    410    905    178    216    936    465    480   1056    916   6288
AVL: 1000000: C:      23     21     23    666    426    951    166    207    950    451    470   1090    892   6273
AA:  1000000: C:      27     26     27    911    457   1114    309    195    937    569    480   1127   1644   7747
BST: 1000000: C:      49     46     48    648    669   1459    179    372   1615    493    862   1840    993   9134
RBT: 1000000: D:      36     20     22    211    387    909    403    165    707    402    414    897    830   5329
AVL: 1000000: D:      19     19     21    145    364    781    379    170    722    392    416    925    823   5120
AA:  1000000: D:      25     25     27    212    390    941    798    186    871    530    467   1102   1560   7063
RBT: 1000000: E:      35     24     25    310    519   1303    102    184    802    420    452    961    873   5931
AVL: 1000000: E:      22     21     23    260    417    956    104    184    853    409    444   1015    839   5486
AA:  1000000: E:      29     27     28    368    466   1198    270    214   1028    554    531   1280   1740   7654
BST: 1000000: E:    2485   1256   1258    448   1083   2210    170    463   1921    581   1036   2152   1149  11216
RBT: 1000000: F:      23     22     23    720    408    914    484    200    879    475    469   1035    938   6528
AVL: 1000000: F:      23     21     23    673    415    963    474    205    929    456    477   1086    923   6605
AA:  1000000: F:      27     25     26    924    461   1138    917    197    952    585    502   1193   1704   8577
BST: 1000000: F:      49     46     48    658    671   1453    479    373   1610    502    873   1836    996   9455
