Printing the average test results after 10 repeats:

tree   n    test      h1     h2     h3    it1   st1a   st1b    dt1   st2a   st2b    it2   st3a   st3b    dt2  total
RBT: 400000:  D:      34     19     20     73    115    285    109     42    185    112    108    234    220   1487
AVL: 400000:  D:      18     18     20     50     98    212    103     44    191    108    111    240    223   1383
AA:  400000:  D:      23     23     25     74     99    213    222     47    217    146    126    287    441   1877
RBT: 400000:  E:      32     22     23     98    140    345     35     48    218    121    118    258    235   1621
AVL: 400000:  E:      21     20     21     80    108    242     36     51    227    116    122    279    228   1495
AA:  400000:  E:      26     24     25    110    109    280     94     53    237    148    127    298    439   1899
BST: 400000:  E:    1610    807    810    127    261    537     53    106    451    141    247    523    266   2716
RBT: 400000:  F:      21     21     22    171    102    228    129     48    222    126    116    265    242   1653
AVL: 400000:  F:      21     20     21    162    103    250    125     49    228    124    124    285    247   1701
AA:  400000:  F:      25     23     25    227    113    273    244     46    230    154    122    284    433   2129
BST: 400000:  F:      44     40     43    148    155    347    119     86    376    131    210    444    237   2257
RBT: 500000:  A:      34     23     24     94    135    314     34     60    265    152    151    339    321   1870
AVL: 500000:  A:      18     18     20     64    132    297     34     61    270    156    147    326    303   1795
AA:  500000:  A:      24     24     24     93    143    338    107     64    294    194    164    384    601   2386
RBT: 500000:  B:      33     21     23    145    207    484    168     66    276    158    159    350    329   2346
AVL: 500000:  B:      21     20     21    106    167    347    158     67    299    155    159    374    321   2156
AA:  500000:  B:      27     24     25    148    160    414    322     68    317    206    179    421    610   2849
BST: 500000:  B:    2167   1116   1117    176    375    774    220    156    653    209    363    745    390   4066
RBT: 500000:  C:      22     21     22    250    143    324     72     67    301    172    162    358    343   2197
AVL: 500000:  C:      21     20     22    231    143    336     71     70    322    167    178    401    338   2263
AA:  500000:  C:      25     24     25    316    162    388    135     74    341    218    165    397    601   2800
BST: 500000:  C:      46     43     46    211    220    489     74    120    533    173    297    636    345   3102
RBT: 500000:  D:      34     19     20     94    143    360    158     65    268    152    151    332    301   2028
AVL: 500000:  D:      18     18     20     65    152    320    145     66    293    149    166    366    314   2039
AA:  500000:  D:      24     24     25     97    156    371    302     65    303    197    167    397    591   2649
